,Дитяче меню,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,,,,,,🕓 швидко втрачає свій смак/вигляд ,
,Холодні закуски,,,,,,
1,"Різнокольорові млинці з індичкою, з лососем та шпинатом, з шинкою та огірком у вершковому соусі",300,,"256,00 грн.","0,00 грн.",,
2,"Шпажка ""мухомор"" (бебі-моцарела, томат чері)  (капрезе)",35,,"71,00 грн.","0,00 грн.",,
3,Шпажка з перепелиним яйцем та шинкою,35,,"63,00 грн.","0,00 грн.",,
4,Шпажка з курячою грудкою та ананасом,35,,"69,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
5,Шпажка фруктова,40,,"60,00 грн.","0,00 грн.",,
6,Овочеві ломтики в йогуртовому соусі,70,,"70,00 грн.","0,00 грн.",,
,Гарніри та перші страви,,,,,,
1,Картопляне пюре,100,,"74,00 грн.","0,00 грн.",,
2,Рис з овочами,100,,"77,00 грн.","0,00 грн.",,
3,Різнокольорові спагеті з куркою в соусі,150,,"143,00 грн.","0,00 грн.",,
4,Омлет з куркою су-від,150,,"151,00 грн.","0,00 грн.",,
5,Курячий супчик з лапшою та яйцем,150,,"95,00 грн.","0,00 грн.",,
6,Бульйон с фрикадельками,150,,"96,00 грн.","0,00 грн.",,
7,Крем-суп з броколі,150,,"86,00 грн.","0,00 грн.",,
8,Суп з фрикадельками і кольоровими макаронами,150,,"97,00 грн.","0,00 грн.",,
,Солодкі страви,,,,,,
1,"Млинці (з ягідним або карамельним соусом, з шоколадом)",100,,"162,00 грн.","0,00 грн.",,
2,Вареники з вишнею,100,,"119,00 грн.","0,00 грн.",,
3,Сирники з джемом,100,,"143,00 грн.","0,00 грн.",,
,Гарячі закуски,,,,,,
2,Нагетси з соусом блючіз,180/50,,"357,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
3,Маленькі бургери з курки в піті,150,,"177,00 грн.","0,00 грн.",,
4,"Лаваш з шинкою, сиром та соусом",100,,"140,00 грн.","0,00 грн.",,
5,Курячий шашличок з брокколі,100,,"143,00 грн.","0,00 грн.",,
6,Варена кукурудза,100,,"78,00 грн.","0,00 грн.",,
7,Парова котлета з індички,100,,"141,00 грн.","0,00 грн.",,
8,Бургер курячий з картоплею фрі,200/100,,"219,00 грн.","0,00 грн.",,
9,"Хотдог з сосискою, морквою, помідорами та соусами",120,,"119,00 грн.","0,00 грн.",,
10,Сирні палочки з моцарели в паніровці,100,,"161,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
,Сезонні позиції,,,,,,
1,Брускета з маскарпоне та свіжою полуницею,45,,"96,00 грн.","0,00 грн.",,
