,Одноразовий посуд,,,,
№ п/п,,Об'єм,Кількість,"Ціна, грн/шт","Сума, грн"
,Одноразовий посуд,,,,
1,Стакан паперовий для кави + мішалка,200 мл,,"3,40 грн.","0,00 грн."
2,Стакан паперовий для чаю + мішалка,350 мл,,"3,40 грн.","0,00 грн."
3,Тарілки паперові,22 см,,"4,00 грн.","0,00 грн."
4,Тарілки паперові,17 см,,"4,00 грн.","0,00 грн."
5,Тарілка човник крафт,,,"4,00 грн.","0,00 грн."
6,Виделки дерево,,,"3,40 грн.","0,00 грн."
7,Ножі дерево,,,"3,40 грн.","0,00 грн."
8,Ложки дерево,,,"3,40 грн.","0,00 грн."
9,Стакан склоподібний,200 мл,,"5,50 грн.","0,00 грн."
10,Стакан купольний з кришкою + трубочка,400 мл,,"5,00 грн.","0,00 грн."
11,Шот склопластик,100 мл,,"20,00 грн.","0,00 грн."
12,Фужер склопластик,160 мл,,"24,00 грн.","0,00 грн."
13,Рюмка склоподібна,40 мл,,"2,50 грн.","0,00 грн."
14,Ланч-бокс прямокутний,,,"4,00 грн.","0,00 грн."
15,Бокс салатник крафт,250 мл,,"2,50 грн.","0,00 грн."
16,Серветки паперові (упаковка 100 шт),,,"40,00 грн.","0,00 грн."
17,Пакет паперовий,,,"11,00 грн.","0,00 грн."
