,Су-від,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Курка Су-від,,,,,,
1,"Стегно куряче класичне (сіль, мікс перців, оливкова олія, чебрець, розмарин, сухий базилік)",600,,"439,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
2,"Фітнес куряче філе (чебрець, перець, сіль морська, оливкова олія)",600,,"495,00 грн.","0,00 грн.",,
3,"Стегно куряче теріяки ( соус Теріяки, чебрець, перець, сіль морська, оливкова олія, чеснок, імбир)",600,,"439,00 грн.","0,00 грн.",,
4,"Томато куряче філе (базилик, в'ялений томат, часник, сіль, оливкова олія, чебрець, томати Пелаті)",600,,"495,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
5,"Цитрус куряче філе (апельсин, чебрець, перець, оливкова олія, фреш апельсина)",600,,"495,00 грн.","0,00 грн.",,
6,"Чилі куряче стегно (перець Чилі, часник, мікс перців, оливкова олія, чебрець)",600,,"439,00 грн.","0,00 грн.",,"🌰 Часник, 🌶️ Перець гострий та продукти з них"
7,"Пряне куряче філе (сіль Сванська, мікс перців, оливкова олія, чебрець, розмарин, сухий базилік)",600,,"495,00 грн.","0,00 грн.",,
,Свинина Су-від,,,,,,
1,"Стейк свинячий класичний (чебрець, розмарин, мікс перців, сіль, оливкова олія)",600,,"566,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
2,"Шашлик свинячий класичний (Сванська сіль, перець, цибуля, оливкова олія, паприка, розмарин, чебрець)",600,,"579,00 грн.","0,00 грн.",,
3,"Свинячі ребра (чебрець, розмарин, мікс перців, сіль, оливкова олія)",600,,"495,00 грн.","0,00 грн.",,
4,"Стейк свинячий у пиві (пиво темне, сіль, перець, розмарин, чебрець, вершкове масло)",600,,"566,00 грн.","0,00 грн.",,
5,"Ребра свинячі в пиві (пиво темне, сіль, перець, розмарин, чебрець, вершкове масло)",600,,"495,00 грн.","0,00 грн.",,
,Індичка Су-від,,,,,,
1,"Філе індички Теріякі (соєвий соус, соус Теріякі, чебрець, мікс перців, оливкова олія, розмарин)",600,,"599,00 грн.","0,00 грн.",,
2,"Філе індички Фітнес (чебрець, перець, сіль морська, оливкова олія)",600,,"599,00 грн.","0,00 грн.",,
3,"Філе індички Каррі (паста Каррі, імбир, оливкова олія, сіль, перець, соєвий соус)",600,,"599,00 грн.","0,00 грн.",,
,Телятина Су-від,,,,,,
1,"Класична телятина (Оливкова олія, сіль, перець, розмарин)",600,,"742,00 грн.","0,00 грн.",,
2,"Стейк із телятини класичний (чебрець, розмарин, сіль, перець, оливкова олія)",600,,"742,00 грн.","0,00 грн.",,
3,"Телятина глінтвейн (вино, кориця, бадьян, апельсин, сіль, перець, оливкова олія)",600,,"742,00 грн.","0,00 грн.",,
4,"Телятина з грейпфрутом (грейпфрут, розмарин, морська сіль, мікс перцю, оливкова олія)",600,,"742,00 грн.","0,00 грн.",,
,Риба Су-від,,,,,,
1,"Філе лосося стандарт (сіль морська, перець, оливкова олія, чебрець, лимон",400,,"1 169,00 грн.","0,00 грн.",,
2,"Чилі лосось (пластівці Чилі, перець Чилі, імбир, цукор, білий перець, оливкова олія, чебрець)",400,,"1 169,00 грн.","0,00 грн.",,🌶️ Перець гострий  та продукти з нього
3,"Лосось по-азіатськи (соєвий соус, часник, імбир, цукор, перець Чилі, білий перець сіль, чебрець)",400,,"1 169,00 грн.","0,00 грн.",,"🌰 Часник, 🌶️ Перець гострий та продукти з них"
4,"Біла риба (сіль, лимон, оливкова олія, чебрець, перець)",400,,"532,00 грн.","0,00 грн.",,
,Овочі Су-від,,,,,,
1,"Буряк (чебрець, сіль, перець, оливкова олія)",1000,,"432,00 грн.","0,00 грн.",,
2,"Морква (чебрець, сіль, перець, оливкова олія)",1000,,"432,00 грн.","0,00 грн.",,
,Су-від набори,,,,,,
1,"Набір продуктів су-від Гурман: куряче філе чилі, свинячі ребра в пиві, Томато куряче філе, буряк, морква",1700,,"1 917,00 грн.","0,00 грн.",,"🌰 Часник, 🌶️ Перець гострий та продукти з них"
2,"Набір продуктів су-від Вишуканий: Чилі лосось, свинячі ребра в пиві, куряче стегно теріяки, буряк",1700,,"2 307,00 грн.","0,00 грн.",,"🌰 Часник, 🌶️ Перець гострий та продукти з них"
3,"Набір продуктів су-від Гурман-фіш: філе лосось стандарт, чилі лосось, біла риба, буряк",1500,,"3 089,00 грн.","0,00 грн.",,🌶️ Перець гострий  та продукти з нього
,Су-від ПОДАРУНКОВІ набори,,,,,,
,Подарунковий Су-Від великий від DZYGA-gourmet,,,,,,
1,"Фітнес куряче філе (чебрець, перець, сіль морська, оливкова олія)",300,1,,,,
2,"Стегно куряче теріяки ( соус Теріяки, чебрець, перець, сіль морська, оливкова олія, чеснок, імбир)",300,1,,🌰 Часник та продукти з нього,,
3,"Класична телятина (Оливкова олія, сіль, перець, розмарин)",300,1,,,,
4,"Буряк (чебрець, сіль, перець, оливкова олія)",300,1,,,,
5,"Морква (чебрець, сіль, перець, оливкова олія)",300,1,,,,
,,,,,,,
,Подарунковий Су-Від малий від DZYGA-gourmet,,,,,,
1,"Фітнес куряче філе (чебрець, перець, сіль морська, оливкова олія)",300,1,,,,
2,"Стегно куряче теріяки ( соус Теріяки, чебрець, перець, сіль морська, оливкова олія, чеснок, імбир)",300,1,,🌰 Часник та продукти з нього,,
3,"Морква (чебрець, сіль, перець, оливкова олія)",300,1,,,,
