,Dzyga-vegan,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Вегетаріанські холодні закуски,,,,,,
1,"Грибний паштет (лісові гриби, цибуля шалот, цибуля порей, оливкова олія, вершкове масло, тим'ян, херес)",100,,"231,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
2,"Рулетик з баклажану з горіховой пасти, аджики та зерен гранату  (Листя кінзи, баклажани, волоський горіх, часник, петрушка, аджика, вершкове масло, сіль, перець, зерна гранату) ",120,,"260,00 грн.","0,00 грн.",,"🌰 Часник, 🥜 Горіхи та продукти з них"
3,"Гуакамоле з помідором та кукурудзою (помідор, цибуля, перець чілі, кінза, авокадо, лайм, сіль,консервована кукурудза, оливкова олія",100,,"333,00 грн.","0,00 грн.",,"🥜 Горіхи, 🌶️ Перець гострий та продукти з них"
4,"Онігірадзу – рол-сендвіч (рис, копчений тофу, сіль, рисовий оцет, болгарський перець, огірок, шпинат, лист норі)",100,,"138,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
5,"Овочеві роли (рис, огірок, помідор, болгарський перець, кунжут білий,  норі)",100,,"157,00 грн.","0,00 грн.",,
,Веганські холодні закуски,,,,,,
1,Веганський рол з норі та овочами,220,,"159,00 грн.","0,00 грн.",,
2,Бакболи з перцем,130,,"139,00 грн.","0,00 грн.",,"🌰 Часник, 🥜 Горіхи та продукти з них"
,Салати,,,,,,
1,"Салат з томатів та авокадо (авокадо, помідор чері, цибуля, лимонний сік, оливкова олія, листки салату)",200,,"333,00 грн.","0,00 грн.",,
2,Салат з молодої капусти та огірка,150,,"101,00 грн.","0,00 грн.",,
3,"Боул з кіноа (кіноа, огірки, томати черрі, цвітна капуста, червона квасоля, кукурудза, морква, авокадо, куркума, оливкова олія, сік лимону, кінза)",200,,"402,00 грн.","0,00 грн.",,
4,Салат із запеченою селерою та яблуком,80,,"153,00 грн.","0,00 грн.",,
5,"Салат ""Веган"": помідор рожевий, помідор жовтий, квасоля стручкова, салат Айзберг, петрушка свіжа, кіноа, олія оливкова, соус соєвий",75,,"109,00 грн.","0,00 грн.",,
,Перші страви,,,,,,
1,"Грибний суп-пюре (печериці, картопля, цибуля, морква, веган вершки, сіль/перець, олія)",250,,"146,00 грн.","0,00 грн.",,
2,"Борщ з квасолею маш (маш, картопля, капуста, буряк, морква, паста томатна, масло гірчичне, куркума, паприка, корінь імбиру мелений, хмелі-сунелі, сіль, перець)",250,,"185,00 грн.","0,00 грн.",,
3,"крем-суп із броколі (броколі, цибуля, картопля, часник, сіль, перець, веган вершки)",250,,"168,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
4,"овочевий крем-суп (броколі, горошок, печериці, цибуля порей, морква, картопля, сіль, перець, зелень, веган вершки)",250,,"168,00 грн.","0,00 грн.",,
5,"Суп із зеленою сочевицею (зелена чечевиця, цибуля, болгарський перець, томатна паста, часник, корінь селери, петрушка, орегано, куркума, лавровий лист, перець, сіль, масло)",250,,"139,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
6,"Суп-пюре з кореня селери з імбиром (корінь селери, цвітна капуста, цибуля, імбир, лавровий лист, молоко рослинне, сіль)",250,,"202,00 грн.","0,00 грн.",,
,Гарніри,,,,,,
1,Нутове пюре,150,,"166,00 грн.","0,00 грн.",,
2,Пакора з цвітної капусти,150,,"220,00 грн.","0,00 грн.",,
3,Запечена картопля з грибами,150,,"147,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
4,Рататуй,200,,"241,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
5,Кускус із грибами,150,,"131,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Гарячі страви,,,,,,
1,Цибулеві кільця,100,,"146,00 грн.","0,00 грн.",,
