,Випічка та доповнення,,,,,,
№ п/п,Назва,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,,,,,,🕓 швидко втрачає свій смак/вигляд ,
,"Випічка, позиції з борошна",,,,,,
1,Міні пиріжки з м'ясом,50,,"60,00 грн.","0,00 грн.",,
2,Міні пиріжки з капустою,50,,"55,00 грн.","0,00 грн.",,
3,Міні пиріжки з грибами,50,,"55,00 грн.","0,00 грн.",,
4,Міні пиріжки солодкі асорті,50,,"55,00 грн.","0,00 грн.",,
5,Слойоні рогалики з начинкою з сиру та шинки.,40,,"48,00 грн.","0,00 грн.",,
6,Слойка з яблуками та корицею,75,,"45,00 грн.","0,00 грн.",,
7,Слойка з ягідним джемом,90,,"56,00 грн.","0,00 грн.",,
8,Запіканка сирна з родзинками та сметаною,150/50,,"105,00 грн.","0,00 грн.",,
8,Сирники зі сметаною,150/50,,"105,00 грн.","0,00 грн.",,
,Млинці,,,,,,
1,Млинець з творогом та ізюмом,40/30,,"33,00 грн.","0,00 грн.",,
2,Млинець з куркою та грибами,40/30,,"39,00 грн.","0,00 грн.",,
3,Млинці з яблуками,150,,"41,00 грн.","0,00 грн.",,
,Порційні десерти,,,,,,
1,Пана Кота з топінгом (шоколадний),100,,"70,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
2,Пана Кота з топінгом (карамельний),100,,"70,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
3,Пана Кота з топінгом (ягідний),100,,"70,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
4,Чіа пудинг з гранолою та ягідним джемом,100,,"87,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
5,Пана-кота із желе з манго,100,,"74,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
6,Шоколадно-банановий чізкейк із мигдальними пластівцями,100,,"95,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
7,Сирний мус з грушею та сиром Дорблю,100,,"248,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
8,Яблучний мус із вершками,100,,"102,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
9,Сирно-малиновий мус,100,,"104,00 грн.","0,00 грн.",,
10,Шоколадний чізкейк,100,,"138,00 грн.","0,00 грн.",,
11,Класичний тирамісу,100,,"142,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
12,Десерт творожно-фруктовий,100,,"140,00 грн.","0,00 грн.",,
,Тортики ставимо кількістю від 14 порцій (не менше),,,,,,
13,Тортик міні-медовик,50,,"57,00 грн.","0,00 грн.",,
14,Тортик міні-наполеон,50,,"57,00 грн.","0,00 грн.",,
,"Десерти (мафіни) - кількість кратна 20; замовлення не пізніше ніж за два дні до дати заходу, до 15:00!!!!",,,,,,
1,Мафіни в асортименті 1 (з шоколадною начинкою;начинкою Тірамісу; горіховою начинкою; згущеним молоком),80,,"50,00 грн.","0,00 грн.",,
2,"Мафіни в асортименті 2 (з вершковою начинкою; начинкою Латте та маршмелоу; кокосовою начинкою, шоколадно-банановою начинкою)",80,,"50,00 грн.","0,00 грн.",,
,Десерти (еклери довгі) - кількість кратна 12,,,,,,
1,Еклери в асортименті (начинка манго; фісташка; крем брюле; солона карамель; рафаелло; заварний крем;масляний крем),40,,"40,00 грн.","0,00 грн.",,
,Десерти на кава-брейк,,,,,,
1,Профітролі зі згущеним молоком,100,,"53,00 грн.","0,00 грн.",,
2,Профітролі із заварним кремом,100,,"53,00 грн.","0,00 грн.",,
3,Круасан з шоколадною начинкою,100,,"66,00 грн.","0,00 грн.",,
4,Мафін шоколадно-сирний,60,,"54,00 грн.","0,00 грн.",,
5,Мафін шоколадний,60,,"34,00 грн.","0,00 грн.",,
6,Мафін ванільний,60,,"34,00 грн.","0,00 грн.",,
7,Тарталетка з сезонними фруктами,60,,"66,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
8,Круасан з мигдальною начинкою,100,,"75,00 грн.","0,00 грн.",,
9,Макаруни,35,,"59,00 грн.","0,00 грн.",,
10,"Печиво ""горішки""",100,,"75,00 грн.","0,00 грн.",,
11,Зефір в асортименті,50,,"54,00 грн.","0,00 грн.",,
12,Печиво в асортименті,100,,"42,00 грн.","0,00 грн.",,
13,"Ваза ""Фруктова"" сезонна",1000,,"548,00 грн.","0,00 грн.",,
,Десерти (НА КЕЙТЕРІНГ ТА ДОСТАВКУ ГОТОВИХ СТРАВ),,,,,,
1,Тарт ванільний,50,,"77,00 грн.","0,00 грн.",,
2,Тарт з шоколадом,50,,"79,00 грн.","0,00 грн.",,
3,Тарт з вишнею,50,,"69,00 грн.","0,00 грн.",,
,Десерти ЛИШЕ БОКСИ (з Лебединської),,,,,,
1,Тарт з ванільним мусом,45,,"71,00 грн.","0,00 грн.",,
2,Тарт з вишневим мусом,50,,"78,00 грн.","0,00 грн.",,
3,Тарт з карамельним мусом,50,,"71,00 грн.","0,00 грн.",,
,Додатково,,,,,,
1,Лимон,10,,"9,00 грн.","0,00 грн.",,
2,"Хлібний кошик: хліб зерновий, багет гречаний, хліб пшеничний на заквасці",200,,"120,00 грн.","0,00 грн.",,
3,"Хлібний кошик: лаваш грузинський, французький багет, хліб бородинський",100,,"45,00 грн.","0,00 грн.",,
4,Хліб український та батон нарізний,500,,"63,00 грн.","0,00 грн.",,
5,Чай пакетований в асортименті з лимоном,200,,"40,00 грн.","0,00 грн.",,
6,"Чай концентрат в асортименті (обліпиха, малина , імбир)",50,,"27,00 грн.","0,00 грн.",,
7,Чай заварний в асортименті з лимоном,200,,"71,00 грн.","0,00 грн.",,
8,Розчинна кава з вершками або молоком,200,,"29,00 грн.","0,00 грн.",,
9,Заварна кава з вершками або молоком,200,,"31,00 грн.","0,00 грн.",,
10,Кава натуральна з вершками або молоком,50 - 150,,"44,00 грн.","0,00 грн.",,
11,Сік в асортименті,950,,"94,00 грн.","0,00 грн.",,
12,Сік в асортименті (індивідуальна упаковка),200,,"49,00 грн.","0,00 грн.",,
13,Вода Моршинська негазована,500,,"34,00 грн.","0,00 грн.",,
14,VODA ua негазована,500,,"34,00 грн.","0,00 грн.",,
15,VODA ua негазована у склі,400,,"55,00 грн.","0,00 грн.",,
16,VODA ua негазована у пластику 330 мл,330,,"24,00 грн.","0,00 грн.",,
17,Вода з лимоном та м'ятою,1000,,"42,00 грн.","0,00 грн.",,
18,Глінтвейн,200,,"240,00 грн.","0,00 грн.",,
19,Компот Фруктовий,1000,,"193,00 грн.","0,00 грн.",,
20,Узвар,1000,,"137,00 грн.","0,00 грн.",,
21,Морс ягідний,1000,,"240,00 грн.","0,00 грн.",,
22,Журавлиний морс,1000,,"240,00 грн.","0,00 грн.",,
23,Лимонад Мохіто власного приготування,1000,,"240,00 грн.","0,00 грн.",,
24,Лимонад Тархун власного приготування,1000,,"240,00 грн.","0,00 грн.",,
25,Лимонад Цитрус власного приготування,1000,,"240,00 грн.","0,00 грн.",,
26,Лимонад Імбирний власного приготування,1000,,"240,00 грн.","0,00 грн.",,
27,Лимонад Огірковий власного приготування,1000,,"240,00 грн.","0,00 грн.",,
28,Лимонад Лісові ягоди власного приготування,1000,,"240,00 грн.","0,00 грн.",,
29,Лимонад Манго-Маракуйя власного приготування,1000,,"342,00 грн.","0,00 грн.",,
30,VODA ua газована,500,,"34,00 грн.","0,00 грн.",,
31,VODA ua газована у склі,400,,"55,00 грн.","0,00 грн.",,
32,VODA ua газована у пластику 330 мл,330,,"24,00 грн.","0,00 грн.",,
33,"Вода Моршинська слабогазована 500мл, шт",500,,"34,00 грн.","0,00 грн.",,
34,"Вода Моршинська сильногазована 500мл, шт",500,,"34,00 грн.","0,00 грн.",,
35,"Вода Моршинська у склі без газу 330 мл, шт",330,,"55,00 грн.","0,00 грн.",,
36,"Вода Моршинська у склі слабогазована 330 мл, шт",330,,"55,00 грн.","0,00 грн.",,
,Соуси,,,,,,
1,"Соус ""Коньячно-сирний"" (коньяк, вершки, сир Пармезан)",25,,"79,00 грн.","0,00 грн.",,
2,"Соус ""Коньячний"" (коньяк, томатна паста, лимон, соус соєвий, оливкова олія)",25,,"37,00 грн.","0,00 грн.",,
3,"Соус ""Ворчестерський маринад"" (соус Ворчестер, лимон, оливкова олія)",25,,"48,00 грн.","0,00 грн.",,
4,"Соус ""Орегановий"" (оцет бальзамічний, орегано свіжий, оливкова олія)",25,,"36,00 грн.","0,00 грн.",,
5,Соус на основі сиру Емменталь,25,,"70,00 грн.","0,00 грн.",,
6,Соус із хрону,25,,"30,00 грн.","0,00 грн.",,
7,"Соус ""Медово-естрагоновий"" (оцет Естрагон, мед, соус Ворчестер, олія оливкова)",25,,"36,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
8,"Соус ""Бальзамічний"" (оцет Бальзамічний, соус соєвий, олія соняшникова)",25,,"25,00 грн.","0,00 грн.",,
9,"Соус ""Часниковий"" (часник, олія соняшникова, лимон)",25,,"25,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
10,"Соус ""Коктейль"" (коньяк, соус кетчуп, майонез)",50,,"36,00 грн.","0,00 грн.",,
11,"Соус ""Пікантний"" (томатна паста, соус соєвий, часник, петрушка свіжа)",50,,"36,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
12,Соус тартар,50,,"35,00 грн.","0,00 грн.",,
13,Соус каррі,50,,"35,00 грн.","0,00 грн.",,
14,Соус BBQ,50,,"35,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
15,Соус сметанно-часниковий,50,,"53,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
16,Хрін,50,,"33,00 грн.","0,00 грн.",,
17,Гірчиця,50,,"33,00 грн.","0,00 грн.",,
18,Кетчуп,50,,"33,00 грн.","0,00 грн.",,
19,Аджика,50,,"62,00 грн.","0,00 грн.",,
,Сезонні позиції,,,,,,
1,Пана-кота з полуницею,120,,"69,00 грн.","0,00 грн.",,
2,Тирамісу з полуницею,120,,"97,00 грн.","0,00 грн.",,
3,Полуничний чізкейк із мигдальними пластівцями,120,,"113,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
4,Гарбузова панакота,120,,"97,00 грн.","0,00 грн.",,
5,Млинці з полуницею,150,,"65,00 грн.","0,00 грн.",,
,Страви на Хелловін ТІЛЬКИ НА КЕЙТЕРІНГ (ДОСТАВКА З НАКРИТТЯМ/ОБСЛУГОВУВАННЯ),,,,,,
,Холодні закуски,,,,,,
1,Мумія в тісті з очима,75,,"66,00 грн.","0,00 грн.",,
2,Гаспачо у шприці до м'яса,70,,"66,00 грн.","0,00 грн.",,
3,Начоси з гуакамоле у гарбузі,55/30,,"119,00 грн.","0,00 грн.",,
4,Пальці,15,,"31,00 грн.","0,00 грн.",,🥜 Горіхи та продукти з них
5,Тарталетка з мусом гарбуза та павучком,40,,"45,00 грн.","0,00 грн.",,
6,Профітроль (око Хелловіну),35,,"65,00 грн.","0,00 грн.",,
,Салати,,,,,,
1,"Салат ""Білочка"" у формі гарбуза",50,,"59,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Гарячі страви,,,,,,
1,"Качині ніжки су-від, томлені з апельсином та запеченим перцем у гарбузі.",250/1000,,"613,00 грн.","0,00 грн.",,
2,Курячі гомілки фрі з кукурудзою су-від та сирним соусом,200,,"402,00 грн.","0,00 грн.",,
3,"Ребро свинини су-від з картоплею фрі, пармезаном та трюфельною маслом",250,,"527,00 грн.","0,00 грн.",,
4,Запечений гарбуз з яблуневим конфі і чорним павутинням,40,,"77,00 грн.","0,00 грн.",,
